kennziffer,name,fl17,bev17,sgtyp,sgtyp_name,wo,,mittelb17,mittelb17name,ihk17,ihk17name
1059183,Handewitt,77.72,"11,081",30,Größere Kleinstadt,1,West,10503,Flensburg,26,IHK Flensburg
1059912,Eggebek,131.79,"8,815",50,Landgemeinde,1,West,10503,Flensburg,26,IHK Flensburg
1059915,Haddeby,79.78,"8,841",50,Landgemeinde,1,West,10505,Schleswig,26,IHK Flensburg
1059919,Hürup,96.88,"8,566",50,Landgemeinde,1,West,10503,Flensburg,26,IHK Flensburg
1059920,Kappeln-Land,28.39,"1,435",50,Landgemeinde,1,West,10504,Kappeln,26,IHK Flensburg
1059937,Langballig,86.07,"8,209",50,Landgemeinde,1,West,10503,Flensburg,26,IHK Flensburg
1059940,Oeversee,83.63,"10,606",40,Kleine Kleinstadt,1,West,10503,Flensburg,26,IHK Flensburg
1059949,Amt Mittelangeln,100.00,"10,024",40,Kleine Kleinstadt,1,West,10503,Flensburg,26,IHK Flensburg
1059952,Schafflund,236.80,"12,596",50,Landgemeinde,1,West,10503,Flensburg,26,IHK Flensburg
1059974,Süderbrarup,146.79,"11,307",50,Landgemeinde,1,West,10505,Schleswig,26,IHK Flensburg
1059987,Südangeln,189.49,"13,432",50,Landgemeinde,1,West,10505,Schleswig,26,IHK Flensburg
1059990,Geltinger Bucht,201.17,"12,151",50,Landgemeinde,1,West,10504,Kappeln,26,IHK Flensburg
1059993,Arensharde,191.39,"14,353",50,Landgemeinde,1,West,10505,Schleswig,26,IHK Flensburg
1059996,Kropp-Stapelholm,294.99,"16,751",40,Kleine Kleinstadt,1,West,10505,Schleswig,26,IHK Flensburg
1060004,"Bad Bramstedt, Stadt",24.14,"14,278",30,Größere Kleinstadt,1,West,10304,Neumünster,50,IHK zu Lübeck
1060005,"Bad Segeberg, Stadt",18.87,"17,273",30,Größere Kleinstadt,1,West,10112,Bad Segeberg/Wahlstedt,50,IHK zu Lübeck
1060014,"Buchholz (Forstgutsbez.),gemfr. Gebiet",40.91,0,50,Landgemeinde,1,West,10112,Bad Segeberg/Wahlstedt,50,IHK zu Lübeck
1060019,Ellerau,7.09,"6,182",40,Kleine Kleinstadt,1,West,10105,Norderstedt,50,IHK zu Lübeck
1060039,Henstedt-Ulzburg,39.47,"28,056",20,Mittelstadt,1,West,10104,Kaltenkirchen,50,IHK zu Lübeck
1060044,"Kaltenkirchen, Stadt",23.10,"21,386",20,Mittelstadt,1,West,10104,Kaltenkirchen,50,IHK zu Lübeck
1060063,"Norderstedt, Stadt",58.10,"78,679",20,Mittelstadt,1,West,10105,Norderstedt,50,IHK zu Lübeck
1060092,"Wahlstedt, Stadt",15.75,"9,490",40,Kleine Kleinstadt,1,West,10112,Bad Segeberg/Wahlstedt,50,IHK zu Lübeck
1060905,Bad Bramstedt-Land,186.32,"10,926",50,Landgemeinde,1,West,10304,Neumünster,50,IHK zu Lübeck
1060924,Bornhöved,77.92,"10,893",40,Kleine Kleinstadt,1,West,10304,Neumünster,50,IHK zu Lübeck
1060934,Itzstedt,108.30,"18,905",40,Kleine Kleinstadt,1,West,10105,Norderstedt,50,IHK zu Lübeck
1060943,Kaltenkirchen-Land,115.72,"11,032",50,Landgemeinde,1,West,10104,Kaltenkirchen,50,IHK zu Lübeck
